,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
5071,50.0,1.28,2.0,0.0,2.0,2.0,0.3043215597870263
437,10.0,0.32,0.2,2.0,0.02,0.02,0.41473272579568193
2643,30.0,0.64,0.02,0.02,0.0,2.0,0.3899921043500346
6114,60.0,1.28,2.0,0.2,0.0,0.2,0.3829244562667069
694,10.0,0.64,0.2,2.0,0.02,0.2,0.40939444072955505
837,10.0,1.28,0.02,0.0,0.02,0.02,0.3827945619233608
3830,40.0,0.64,2.0,2.0,0.02,0.2,0.41035485853012654
5593,60.0,0.32,2.0,0.02,0.2,0.02,0.41110874153883076
2612,30.0,0.64,0.0,2.0,0.02,0.0,0.4190791739872908
3604,40.0,0.64,0.0,0.02,0.02,0.0,0.39751908369790806
3788,40.0,0.64,2.0,0.0,2.0,0.0,0.3775719309344776
7622,80.0,0.32,2.0,0.0,0.02,0.2,0.41221636396428646
6279,70.0,0.16,0.2,0.0,0.02,2.0,0.3756378056299745
4731,50.0,0.64,0.02,2.0,0.2,2.0,0.32411219032849875
4023,40.0,1.28,0.2,2.0,0.02,2.0,0.32934332944778444
6862,70.0,0.64,2.0,0.0,2.0,0.2,0.31564133788700166
4393,50.0,0.32,0.0,0.2,0.2,0.02,0.42412611005990497
4568,50.0,0.32,2.0,0.02,0.2,0.0,0.3932260909891447
1514,20.0,0.32,2.0,0.2,0.2,0.2,0.36183304930044524
5677,60.0,0.64,0.0,0.2,2.0,0.02,0.4168589741322801
3336,40.0,0.32,0.0,0.0,0.2,0.0,0.41349962064578993
2604,30.0,0.64,0.0,0.2,2.0,0.0,0.4147351711684747
8496,90.0,0.32,0.0,2.0,0.0,0.0,0.4273288090552149
2091,30.0,0.16,0.0,0.2,0.2,2.0,0.31324862814415744
9012,90.0,1.28,0.0,2.0,0.02,0.0,0.42989949105115527
5409,60.0,0.32,0.0,0.2,0.0,0.02,0.41877125108416435
3433,40.0,0.32,0.02,0.2,0.2,0.02,0.4052094826771318
3290,40.0,0.16,2.0,0.02,0.2,0.2,0.3485286089929783
5915,60.0,1.28,0.0,0.02,0.2,2.0,0.32571871778748956
7950,80.0,1.28,0.0,0.0,2.0,0.2,0.3567911248859102
7972,80.0,1.28,0.0,0.2,0.02,0.0,0.41095688643951955
747,10.0,0.64,2.0,0.2,0.2,2.0,0.34075345135736856
331,10.0,0.32,0.02,0.0,0.2,2.0,0.3372358136941326
3066,30.0,1.28,2.0,2.0,0.2,0.2,0.3728179733765521
6113,60.0,1.28,2.0,0.2,0.0,0.02,0.39349039253404394
7857,80.0,0.64,0.2,2.0,0.0,0.02,0.41674266457883097
4354,50.0,0.32,0.0,0.0,0.0,0.2,0.42288185067651235
6227,70.0,0.16,0.02,0.02,0.0,2.0,0.43143623909328305
7936,80.0,1.28,0.0,0.0,0.0,0.0,0.40367437391275734
5417,60.0,0.32,0.0,0.2,0.2,0.02,0.41888612225375205
123,10.0,0.16,0.02,2.0,0.2,2.0,0.3221787057604005
4264,50.0,0.16,0.2,0.2,0.2,0.0,0.4078956714523429
3590,40.0,0.64,0.0,0.0,0.02,0.2,0.41637700138898764
6298,70.0,0.16,0.2,0.02,0.2,0.2,0.37077559900657864
7202,80.0,0.16,0.0,0.2,0.0,0.2,0.4340305396886025
6849,70.0,0.64,2.0,0.0,0.0,0.02,0.3828226352453214
7899,80.0,0.64,2.0,0.02,0.2,2.0,0.33429796112938304
1106,20.0,0.16,0.02,0.02,0.0,0.2,0.43230453368323796
1960,20.0,1.28,0.2,0.2,0.2,0.0,0.4131505022909529
6336,70.0,0.16,2.0,0.0,0.0,0.0,0.42764101313931685
1217,20.0,0.16,2.0,0.0,0.0,0.02,0.4285448547916451
5261,60.0,0.16,0.2,0.0,2.0,0.02,0.40133562000082346
3320,40.0,0.16,2.0,2.0,0.2,0.0,0.38307411434448757
701,10.0,0.64,0.2,2.0,2.0,0.02,0.3919312452430867
5671,60.0,0.64,0.0,0.2,0.02,2.0,0.35600044726221847
434,10.0,0.32,0.2,2.0,0.0,0.2,0.4185161031633472
8037,80.0,1.28,0.02,0.2,0.02,0.02,0.3711924179123647
2212,30.0,0.16,0.2,0.2,0.02,0.0,0.4141987097031409
8668,90.0,0.32,2.0,0.02,2.0,0.0,0.3746029808345351
5285,60.0,0.16,0.2,0.2,0.02,0.02,0.4224857617797318
5081,50.0,1.28,2.0,0.02,0.2,0.02,0.40058366002093404
8805,90.0,0.64,0.02,0.2,0.02,0.02,0.4206375889368179
5003,50.0,1.28,0.2,0.0,0.2,2.0,0.3230177894168219
7081,70.0,1.28,0.2,0.2,0.2,0.02,0.42917177679012675
7025,70.0,1.28,0.02,2.0,0.0,0.02,0.41253516407181173
6062,60.0,1.28,0.2,0.2,2.0,0.2,0.3371341148040873
8381,90.0,0.16,0.2,2.0,2.0,0.02,0.38689466750043944
3904,40.0,1.28,0.02,0.0,0.0,0.0,0.3929094832056037
5793,60.0,0.64,0.2,0.2,0.0,0.02,0.4162714520728178
7230,80.0,0.16,0.0,2.0,2.0,0.2,0.32373531285324714
5141,60.0,0.16,0.0,0.02,0.02,0.02,0.4057027215626635
1859,20.0,1.28,0.02,0.0,0.0,2.0,0.40057354435081666
