,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
55169,100,0.64,2.0,0.0,0.2,0.02,7,0.3022867629159928
45807,90,0.32,0.2,0.0,2.0,2.0,15,0.3938513231026084
32001,70,0.32,2.0,0.02,0.2,2.0,11,0.4015015134983161
69264,120,0.64,0.2,0.2,0.02,0.2,15,0.4251042919306781
33970,70,0.64,2.0,2.0,0.02,0.0,15,0.3488886914080268
4689,30,0.64,0.2,0.02,2.0,0.02,15,0.3456904864164567
25785,60,0.64,0.02,0.2,0.0,2.0,11,0.42202536177139205
62458,110,0.64,2.0,0.02,0.2,0.2,11,0.39222841859218066
23286,60,0.16,2.0,2.0,2.0,0.2,11,0.40237742609441474
18697,50,0.64,0.02,0.2,2.0,2.0,3,0.39708043815229577
1733,30,0.16,2.0,2.0,0.02,2.0,11,0.46714122011891496
17173,50,0.32,0.2,0.02,0.02,0.02,7,0.27391909163924516
6085,30,1.28,0.02,0.2,0.02,0.02,7,0.34226133425381566
59401,110,0.32,0.0,0.2,0.02,0.02,15,0.21342123816428368
59282,110,0.32,0.0,0.02,0.02,0.0,15,0.2798805726150917
47336,90,0.64,0.02,0.2,0.2,0.2,7,0.35469977080169024
41014,80,0.64,2.0,0.2,0.0,2.0,5,0.3782524896096232
6431,30,1.28,0.2,0.02,0.02,0.2,13,0.44764943576849187
32624,70,0.64,0.0,2.0,0.02,0.0,11,0.2205584037803869
33930,70,0.64,2.0,0.2,2.0,2.0,5,0.39187594330502834
21614,60,0.16,0.0,0.0,2.0,2.0,13,0.3982545214715106
17103,50,0.32,0.2,0.0,0.2,2.0,7,0.4151521715450255
25344,60,0.64,0.0,0.2,0.02,0.0,11,0.27869500154124965
18333,50,0.64,0.0,2.0,0.2,2.0,3,0.402089715941278
60715,110,0.32,2.0,0.2,0.0,0.02,11,0.23555362566347032
67001,120,0.32,0.02,0.2,0.0,2.0,11,0.4197807910793107
1964,30,0.32,0.0,0.02,0.2,0.0,11,0.2598666504294898
39679,80,0.64,0.0,0.2,0.02,0.0,9,0.24196821940722674
39824,80,0.64,0.0,2.0,0.2,0.02,5,0.3007097018941069
19376,50,0.64,2.0,0.02,0.0,0.0,3,0.284441851527265
60842,110,0.32,2.0,2.0,0.0,2.0,13,0.3964153425015427
65071,120,0.16,0.02,0.0,2.0,2.0,15,0.39500649896128287
2695,30,0.32,0.2,0.0,0.0,0.02,3,0.1953829658549533
65127,120,0.16,0.02,0.02,0.02,2.0,15,0.4204546004281213
14513,50,0.16,0.0,0.02,0.2,0.02,7,0.27634985307845084
55678,100,1.28,0.0,0.02,0.0,0.2,3,0.28356678549152925
29009,70,0.16,0.0,2.0,0.0,0.0,5,0.24132123255894783
52852,100,0.32,0.02,2.0,2.0,0.2,7,0.3763631924941774
48502,90,1.28,0.0,0.02,0.0,0.0,15,0.22173547811535393
17568,50,0.32,2.0,0.0,2.0,0.02,13,0.38510165819706516
6242,30,1.28,0.02,2.0,0.2,2.0,13,0.40210638723208647
21313,50,1.28,2.0,0.2,0.02,0.0,13,0.3386214198373212
56021,100,1.28,0.02,0.0,0.0,2.0,3,0.4006719420372282
23097,60,0.16,2.0,0.2,0.0,2.0,11,0.4110468019966291
22581,60,0.16,0.2,0.02,0.2,0.02,15,0.19731620410222617
8383,40,0.16,0.2,0.2,2.0,0.02,11,0.3099024464250059
12733,40,1.28,0.0,0.02,0.2,2.0,3,0.3993370127430207
47439,90,0.64,0.02,2.0,0.2,0.02,3,0.3630462695583699
59923,110,0.32,0.02,2.0,0.0,0.0,9,0.3273576246374449
13412,40,1.28,0.02,2.0,2.0,0.0,3,0.2985581912006838
13879,40,1.28,0.2,2.0,2.0,0.2,13,0.3684979119687664
9287,40,0.32,0.0,0.2,2.0,0.2,13,0.4514240237253542
6401,30,1.28,0.2,0.02,0.0,0.2,9,0.3649026380586643
58603,110,0.16,0.2,2.0,0.0,2.0,15,0.46988449992140063
4410,30,0.64,0.02,2.0,0.02,0.2,3,0.31473471195881075
17831,50,0.32,2.0,2.0,0.0,2.0,7,0.409117047659752
51739,100,0.16,2.0,0.02,2.0,2.0,7,0.39629155159697566
69690,120,0.64,2.0,0.2,0.0,2.0,13,0.4182580636347097
3311,30,0.32,2.0,0.02,0.2,0.02,3,0.38871016877298203
64137,110,1.28,2.0,0.0,0.2,0.2,9,0.4109803861975313
70625,120,1.28,0.02,0.2,0.2,0.02,7,0.4087007156315835
10594,40,0.32,2.0,0.2,0.2,0.02,9,0.31874333682857453
4531,30,0.64,0.2,0.0,0.02,2.0,7,0.41220772952725965
18790,50,0.64,0.02,2.0,2.0,0.0,7,0.26324439843540376
47598,90,0.64,0.2,0.0,2.0,2.0,13,0.4028741395991854
46998,90,0.64,0.0,2.0,0.2,0.2,3,0.40065942960636647
50289,100,0.16,0.0,0.02,0.0,0.0,5,0.19426100596519252
12217,40,0.64,2.0,0.02,0.0,0.02,7,0.25004109044858047
11547,40,0.64,0.02,2.0,0.0,0.02,11,0.2594854353689807
66427,120,0.32,0.0,0.02,0.0,0.02,11,0.191911109322317
64167,110,1.28,2.0,0.0,2.0,0.2,13,0.3894502596858626
9131,40,0.32,0.0,0.02,0.2,0.0,9,0.21861577222450912
33459,70,0.64,0.2,0.2,0.2,2.0,15,0.39975447935785263
4613,30,0.64,0.2,0.02,0.0,2.0,3,0.41254011943959057
32977,70,0.64,0.02,0.2,0.02,2.0,3,0.4238916639462152
26152,60,0.64,0.2,0.02,0.2,0.0,3,0.21513326032316585
12916,40,1.28,0.0,2.0,0.02,0.02,5,0.35342062583994677
1225,30,0.16,0.2,0.2,2.0,2.0,3,0.38524273250177926
9040,40,0.32,0.0,0.0,0.2,2.0,9,0.3959964177065863
65131,120,0.16,0.02,0.02,0.2,0.0,9,0.24768848996382933
27022,60,1.28,0.0,0.02,0.02,0.0,7,0.21070538703977065
68926,120,0.64,0.02,2.0,0.02,0.2,11,0.3275300593675974
59358,110,0.32,0.0,0.02,2.0,2.0,13,0.4066813879000719
50120,90,1.28,2.0,2.0,0.2,0.0,3,0.4166640361537057
66029,120,0.16,2.0,0.02,0.2,0.0,13,0.2628063621474103
23630,60,0.32,0.0,0.2,2.0,2.0,13,0.40571805069715355
64254,110,1.28,2.0,0.02,0.2,2.0,5,0.40156652701660434
47389,90,0.64,0.02,2.0,0.0,0.02,15,0.2698822083909703
52666,100,0.32,0.02,0.2,0.0,2.0,13,0.41560657244387
15457,50,0.16,0.2,0.2,0.0,0.0,5,0.2475592396868781
69978,120,1.28,0.0,0.0,2.0,0.0,15,0.17299750427703506
50638,100,0.16,0.02,0.0,0.0,0.2,3,0.20955843449032396
23054,60,0.16,2.0,0.02,2.0,0.02,9,0.40812275174615165
52343,100,0.32,0.0,2.0,0.02,0.02,11,0.24425847319851762
3598,30,0.64,0.0,0.0,0.0,0.2,3,0.2732826640216339
60738,110,0.32,2.0,0.2,0.02,0.0,15,0.30514683961577194
60622,110,0.32,2.0,0.02,0.02,0.0,7,0.3046264446823993
55101,100,0.64,0.2,2.0,2.0,2.0,11,0.399103476696579
13885,40,1.28,0.2,2.0,2.0,2.0,11,0.38997575841520893
29739,70,0.16,0.2,0.02,0.2,0.0,9,0.21086676901469362
11450,40,0.64,0.02,0.2,0.0,2.0,13,0.41203148290189306
44952,90,0.32,0.0,0.02,0.02,0.02,13,0.2853558767952269
16009,50,0.16,2.0,0.2,2.0,2.0,3,0.3866792318026022
12367,40,0.64,2.0,0.2,0.02,0.2,13,0.41019344523294143
69481,120,0.64,2.0,0.0,0.02,0.02,15,0.39806087017102926
51833,100,0.16,2.0,0.2,2.0,0.0,13,0.3578619341059844
26535,60,0.64,2.0,0.0,2.0,0.2,13,0.36656323484328884
30086,70,0.16,2.0,0.0,0.2,0.2,3,0.3901136620871369
19286,50,0.64,2.0,0.0,0.0,2.0,5,0.39244139338219397
30710,70,0.32,0.0,0.2,0.0,2.0,5,0.40224187865234734
63694,110,1.28,0.2,0.0,0.2,2.0,5,0.40468708732023034
7698,40,0.16,0.02,0.0,0.2,2.0,13,0.4170772354831041
308,30,0.16,0.0,0.2,2.0,0.0,3,0.22507371947481228
24400,60,0.32,0.2,0.02,2.0,0.02,13,0.41280428099396693
11226,40,0.64,0.02,0.0,0.0,2.0,13,0.41747006202418385
38715,80,0.32,0.2,0.02,0.2,0.2,13,0.372125273269835
16646,50,0.32,0.02,0.0,0.2,0.2,3,0.37829103605773934
