,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE
0,10.0,0.16,0.0,0.0,0.0,0.0,250.7796185637048
1,10.0,0.16,0.0,0.0,0.0,0.02,258.74626861988685
2,10.0,0.16,0.0,0.0,0.0,0.2,255.3945303246254
3,10.0,0.16,0.0,0.0,0.0,2.0,255.11182032407035
4,10.0,0.16,0.0,0.0,0.02,0.0,260.61134101374955
5,10.0,0.16,0.0,0.0,0.02,0.02,252.7349786554819
6,10.0,0.16,0.0,0.0,0.02,0.2,253.83686138637887
7,10.0,0.16,0.0,0.0,0.02,2.0,261.89838534830017
8,10.0,0.16,0.0,0.0,0.2,0.0,256.1361851653044
9,10.0,0.16,0.0,0.0,0.2,0.02,263.12653197934253
10,10.0,0.16,0.0,0.0,0.2,0.2,252.65831328166024
11,10.0,0.16,0.0,0.0,0.2,2.0,247.94283981960768
12,10.0,0.16,0.0,0.0,2.0,0.0,260.15024415277514
13,10.0,0.16,0.0,0.0,2.0,0.02,259.94038508413416
14,10.0,0.16,0.0,0.0,2.0,0.2,246.87079183649024
15,10.0,0.16,0.0,0.0,2.0,2.0,258.30290349300844
16,10.0,0.16,0.0,0.02,0.0,0.0,254.23055693779187
17,10.0,0.16,0.0,0.02,0.0,0.02,244.43222112968868
18,10.0,0.16,0.0,0.02,0.0,0.2,258.3883335495481
19,10.0,0.16,0.0,0.02,0.0,2.0,262.8353596989753
20,10.0,0.16,0.0,0.02,0.02,0.0,256.5450238230308
21,10.0,0.16,0.0,0.02,0.02,0.02,248.34181329731376
22,10.0,0.16,0.0,0.02,0.02,0.2,259.79868981484435
23,10.0,0.16,0.0,0.02,0.02,2.0,263.3008589100368
24,10.0,0.16,0.0,0.02,0.2,0.0,256.4679302048145
25,10.0,0.16,0.0,0.02,0.2,0.02,268.31971391256855
26,10.0,0.16,0.0,0.02,0.2,0.2,263.2178615542045
27,10.0,0.16,0.0,0.02,0.2,2.0,249.9174898608317
28,10.0,0.16,0.0,0.02,2.0,0.0,273.12002705731453
29,10.0,0.16,0.0,0.02,2.0,0.02,259.2972545335886
30,10.0,0.16,0.0,0.02,2.0,0.2,253.0199124472041
31,10.0,0.16,0.0,0.02,2.0,2.0,249.95879142649338
32,10.0,0.16,0.0,0.2,0.0,0.0,253.8529707852797
33,10.0,0.16,0.0,0.2,0.0,0.02,255.88185735455966
34,10.0,0.16,0.0,0.2,0.0,0.2,252.4774089496309
35,10.0,0.16,0.0,0.2,0.0,2.0,246.58478800865848
36,10.0,0.16,0.0,0.2,0.02,0.0,255.40580354575118
37,10.0,0.16,0.0,0.2,0.02,0.02,257.1555477600765
38,10.0,0.16,0.0,0.2,0.02,0.2,255.4157557555141
39,10.0,0.16,0.0,0.2,0.02,2.0,247.15659415230374
40,10.0,0.16,0.0,0.2,0.2,0.0,251.9007580747951
41,10.0,0.16,0.0,0.2,0.2,0.02,256.7178397759489
42,10.0,0.16,0.0,0.2,0.2,0.2,254.40505313385415
43,10.0,0.16,0.0,0.2,0.2,2.0,254.43105713334413
44,10.0,0.16,0.0,0.2,2.0,0.0,252.13451778143207
45,10.0,0.16,0.0,0.2,2.0,0.02,260.52829640464057
46,10.0,0.16,0.0,0.2,2.0,0.2,258.77415304492297
47,10.0,0.16,0.0,0.2,2.0,2.0,254.79311386493268
48,10.0,0.16,0.0,2.0,0.0,0.0,251.1854604971088
49,10.0,0.16,0.0,2.0,0.0,0.02,257.3291038040009
50,10.0,0.16,0.0,2.0,0.0,0.2,256.8169575217852
51,10.0,0.16,0.0,2.0,0.0,2.0,261.151509774659
52,10.0,0.16,0.0,2.0,0.02,0.0,250.1350876096322
53,10.0,0.16,0.0,2.0,0.02,0.02,252.6035531769044
54,10.0,0.16,0.0,2.0,0.02,0.2,257.866923033106
55,10.0,0.16,0.0,2.0,0.02,2.0,256.33398669138194
56,10.0,0.16,0.0,2.0,0.2,0.0,264.42002099622056
57,10.0,0.16,0.0,2.0,0.2,0.02,263.958348781287
58,10.0,0.16,0.0,2.0,0.2,0.2,254.97477298282257
59,10.0,0.16,0.0,2.0,0.2,2.0,254.87685488472061
60,10.0,0.16,0.0,2.0,2.0,0.0,266.51322628246606
61,10.0,0.16,0.0,2.0,2.0,0.02,250.5560987921819
62,10.0,0.16,0.0,2.0,2.0,0.2,270.2366327061219
63,10.0,0.16,0.0,2.0,2.0,2.0,253.4929872090353
64,10.0,0.16,0.02,0.0,0.0,0.0,260.6809768009792
65,10.0,0.16,0.02,0.0,0.0,0.02,251.0354984759982
66,10.0,0.16,0.02,0.0,0.0,0.2,265.430259624882
67,10.0,0.16,0.02,0.0,0.0,2.0,257.70317628862085
68,10.0,0.16,0.02,0.0,0.02,0.0,265.32978696419195
69,10.0,0.16,0.02,0.0,0.02,0.02,255.5173635434317
70,10.0,0.16,0.02,0.0,0.02,0.2,251.18526644158973
71,10.0,0.16,0.02,0.0,0.02,2.0,251.49233815965724
72,10.0,0.16,0.02,0.0,0.2,0.0,253.17659494206157
73,10.0,0.16,0.02,0.0,0.2,0.02,255.7502706341524
74,10.0,0.16,0.02,0.0,0.2,0.2,254.1363452976449
75,10.0,0.16,0.02,0.0,0.2,2.0,247.92777211797875
76,10.0,0.16,0.02,0.0,2.0,0.0,257.17004076606963
77,10.0,0.16,0.02,0.0,2.0,0.02,246.00448059023725
78,10.0,0.16,0.02,0.0,2.0,0.2,257.6570097688578
79,10.0,0.16,0.02,0.0,2.0,2.0,257.3838043669324
80,10.0,0.16,0.02,0.02,0.0,0.0,255.55418737659
81,10.0,0.16,0.02,0.02,0.0,0.02,254.81026909228905
82,10.0,0.16,0.02,0.02,0.0,0.2,261.39070411844415
83,10.0,0.16,0.02,0.02,0.0,2.0,252.53620084877483
84,10.0,0.16,0.02,0.02,0.02,0.0,258.5360660361816
85,10.0,0.16,0.02,0.02,0.02,0.02,249.94354294691868
86,10.0,0.16,0.02,0.02,0.02,0.2,252.9173156114805
87,10.0,0.16,0.02,0.02,0.02,2.0,259.56498951195334
88,10.0,0.16,0.02,0.02,0.2,0.0,264.5807175149896
89,10.0,0.16,0.02,0.02,0.2,0.02,244.75474069537742
90,10.0,0.16,0.02,0.02,0.2,0.2,248.74845559135727
91,10.0,0.16,0.02,0.02,0.2,2.0,254.77605409185662
92,10.0,0.16,0.02,0.02,2.0,0.0,258.00878301370784
93,10.0,0.16,0.02,0.02,2.0,0.02,266.6179518020412
94,10.0,0.16,0.02,0.02,2.0,0.2,271.37077838236723
95,10.0,0.16,0.02,0.02,2.0,2.0,264.97865592509015
96,10.0,0.16,0.02,0.2,0.0,0.0,255.76874128107
97,10.0,0.16,0.02,0.2,0.0,0.02,253.1604762790028
98,10.0,0.16,0.02,0.2,0.0,0.2,251.6132008512166
99,10.0,0.16,0.02,0.2,0.0,2.0,262.96707842496295
