,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE,AUPR
0,10.0,0.16,0.0,0.0,0.0,0.0,221.63711021025884,0.34089399123940284
1,10.0,0.16,0.0,0.0,0.0,0.02,238.34779721566025,0.28703725696161403
2,10.0,0.16,0.0,0.0,0.0,0.2,217.83485320721886,0.33824875505799634
3,10.0,0.16,0.0,0.0,0.0,2.0,230.10887033083716,0.33379434487092996
4,10.0,0.16,0.0,0.0,0.02,0.0,228.5700325091961,0.3271710682861652
5,10.0,0.16,0.0,0.0,0.02,0.02,230.6437622137464,0.34434150066222624
6,10.0,0.16,0.0,0.0,0.02,0.2,227.74375299610813,0.30391156710367906
7,10.0,0.16,0.0,0.0,0.02,2.0,231.2764749348761,0.3418737859178692
8,10.0,0.16,0.0,0.0,0.2,0.0,221.1501765899929,0.3276762610387279
9,10.0,0.16,0.0,0.0,0.2,0.02,231.64918365855632,0.34569011526215765
10,10.0,0.16,0.0,0.0,0.2,0.2,232.88406184338604,0.31205853071181205
11,10.0,0.16,0.0,0.0,0.2,2.0,230.31825906406985,0.3474163577450568
12,10.0,0.16,0.0,0.0,2.0,0.0,238.35744864150055,0.33208353114576955
13,10.0,0.16,0.0,0.0,2.0,0.02,234.5502358749961,0.3240948777093269
14,10.0,0.16,0.0,0.0,2.0,0.2,227.2392312256536,0.2962284511565824
15,10.0,0.16,0.0,0.0,2.0,2.0,229.48841719962778,0.3325792295988857
16,10.0,0.16,0.0,0.02,0.0,0.0,246.95750410091244,0.33656638990162524
17,10.0,0.16,0.0,0.02,0.0,0.02,226.47893438145303,0.3196070817551421
18,10.0,0.16,0.0,0.02,0.0,0.2,219.7813874312678,0.3386081900096411
19,10.0,0.16,0.0,0.02,0.0,2.0,233.36162462472905,0.35408934708689505
20,10.0,0.16,0.0,0.02,0.02,0.0,227.74064153048957,0.3334610030375777
21,10.0,0.16,0.0,0.02,0.02,0.02,224.9534282042307,0.30422198401283096
22,10.0,0.16,0.0,0.02,0.02,0.2,218.62893137422265,0.34609888439151626
23,10.0,0.16,0.0,0.02,0.02,2.0,221.5574765204034,0.3042358671359221
24,10.0,0.16,0.0,0.02,0.2,0.0,238.4256195078275,0.2604193278195323
25,10.0,0.16,0.0,0.02,0.2,0.02,280.97427037452223,0.3449376477016832
26,10.0,0.16,0.0,0.02,0.2,0.2,225.8485683572784,0.34690720720286805
27,10.0,0.16,0.0,0.02,0.2,2.0,241.89811861411255,0.32374666287877346
28,10.0,0.16,0.0,0.02,2.0,0.0,244.3331205317376,0.32407085464951363
29,10.0,0.16,0.0,0.02,2.0,0.02,237.8541413511792,0.3183896152900379
30,10.0,0.16,0.0,0.02,2.0,0.2,234.2402090141086,0.3122373679651554
31,10.0,0.16,0.0,0.02,2.0,2.0,223.06688157419381,
32,10.0,0.16,0.0,0.2,0.0,0.0,235.4754700741825,0.33217038627109924
33,10.0,0.16,0.0,0.2,0.0,0.02,225.81064489824158,0.3161074160462328
34,10.0,0.16,0.0,0.2,0.0,0.2,246.78877188572517,0.30628108810497595
35,10.0,0.16,0.0,0.2,0.0,2.0,235.64811862509129,0.3454427384385632
36,10.0,0.16,0.0,0.2,0.02,0.0,231.76648087085456,0.3582382588013361
37,10.0,0.16,0.0,0.2,0.02,0.02,233.30359022887265,0.3291296671825743
38,10.0,0.16,0.0,0.2,0.02,0.2,242.45153368964446,0.3244018421025179
39,10.0,0.16,0.0,0.2,0.02,2.0,219.53009056527915,0.3359871925421528
40,10.0,0.16,0.0,0.2,0.2,0.0,225.88118845472732,
41,10.0,0.16,0.0,0.2,0.2,0.02,235.82439826609038,0.34416427735141897
42,10.0,0.16,0.0,0.2,0.2,0.2,230.91786623520665,0.3284511632627968
43,10.0,0.16,0.0,0.2,0.2,2.0,220.57266706482662,0.2658299032974744
44,10.0,0.16,0.0,0.2,2.0,0.0,234.212031051256,0.2888894073669527
45,10.0,0.16,0.0,0.2,2.0,0.02,231.94353096913326,0.3230460598990592
46,10.0,0.16,0.0,0.2,2.0,0.2,222.28813179224377,0.3123707935271696
47,10.0,0.16,0.0,0.2,2.0,2.0,229.52634903636533,0.3439025260671981
48,10.0,0.16,0.0,2.0,0.0,0.0,229.47256974884232,0.2767920714199285
49,10.0,0.16,0.0,2.0,0.0,0.02,252.15525760209573,0.3268173367737689
50,10.0,0.16,0.0,2.0,0.0,0.2,224.41505672954966,0.3103233395672398
51,10.0,0.16,0.0,2.0,0.0,2.0,225.91006288644746,0.3174388154527573
52,10.0,0.16,0.0,2.0,0.02,0.0,223.24066889219185,0.3276174910524824
53,10.0,0.16,0.0,2.0,0.02,0.02,230.57216446056682,0.3352636302233928
54,10.0,0.16,0.0,2.0,0.02,0.2,229.40784423228268,0.31941835775315386
55,10.0,0.16,0.0,2.0,0.02,2.0,229.91271419626042,0.32452147937758663
56,10.0,0.16,0.0,2.0,0.2,0.0,232.67167248782408,0.31224503699959266
57,10.0,0.16,0.0,2.0,0.2,0.02,229.42008049560616,0.3408991511785284
58,10.0,0.16,0.0,2.0,0.2,0.2,222.69370857392326,0.3308439638289724
59,10.0,0.16,0.0,2.0,0.2,2.0,230.0107070024356,0.3261602325940633
60,10.0,0.16,0.0,2.0,2.0,0.0,240.549812912754,0.3339263449378471
61,10.0,0.16,0.0,2.0,2.0,0.02,234.56816816913812,0.27127563621546585
62,10.0,0.16,0.0,2.0,2.0,0.2,237.89892314385682,0.32103331163858906
63,10.0,0.16,0.0,2.0,2.0,2.0,230.3237405723584,0.29602895136464713
64,10.0,0.16,0.02,0.0,0.0,0.0,233.32692132556087,0.3466273799436211
65,10.0,0.16,0.02,0.0,0.0,0.02,227.2899380915936,0.3266816209045709
66,10.0,0.16,0.02,0.0,0.0,0.2,221.86220762586223,0.3459558946975507
67,10.0,0.16,0.02,0.0,0.0,2.0,228.2842334664307,0.33981706414306445
68,10.0,0.16,0.02,0.0,0.02,0.0,235.34516110078582,0.2742629107720755
69,10.0,0.16,0.02,0.0,0.02,0.02,232.22008565286566,0.32708794197138685
70,10.0,0.16,0.02,0.0,0.02,0.2,232.30524579593617,0.31317996276941684
71,10.0,0.16,0.02,0.0,0.02,2.0,232.79483985394162,0.3333191785172814
72,10.0,0.16,0.02,0.0,0.2,0.0,229.82431234165557,0.3289060673707457
73,10.0,0.16,0.02,0.0,0.2,0.02,240.99370056165841,0.3104843026852807
74,10.0,0.16,0.02,0.0,0.2,0.2,266.63535359389,0.3228456047071659
75,10.0,0.16,0.02,0.0,0.2,2.0,228.04074490414644,0.3151898006263023
76,10.0,0.16,0.02,0.0,2.0,0.0,280.3199757849356,0.3395124395708994
77,10.0,0.16,0.02,0.0,2.0,0.02,228.78226514466132,0.2886684425845729
78,10.0,0.16,0.02,0.0,2.0,0.2,227.55701011371474,0.3032689386541185
79,10.0,0.16,0.02,0.0,2.0,2.0,224.86484984778386,0.3318362448217031
80,10.0,0.16,0.02,0.02,0.0,0.0,233.22021198046383,0.3417397727090014
81,10.0,0.16,0.02,0.02,0.0,0.02,228.58021318548168,0.34596108311117885
82,10.0,0.16,0.02,0.02,0.0,0.2,230.6105345025358,0.35408951750696693
83,10.0,0.16,0.02,0.02,0.0,2.0,218.5850327924561,0.3110902020002288
84,10.0,0.16,0.02,0.02,0.02,0.0,232.38203624991212,0.2962487189148764
85,10.0,0.16,0.02,0.02,0.02,0.02,236.6642804625399,0.2520126958700773
86,10.0,0.16,0.02,0.02,0.02,0.2,228.77806746540696,0.3172054867598006
87,10.0,0.16,0.02,0.02,0.02,2.0,229.37723514556697,0.2937352324903827
88,10.0,0.16,0.02,0.02,0.2,0.0,230.52698290574043,0.3309474375852556
89,10.0,0.16,0.02,0.02,0.2,0.02,232.928894105328,0.3307590076675108
90,10.0,0.16,0.02,0.02,0.2,0.2,242.02880382935226,0.3394280114000293
91,10.0,0.16,0.02,0.02,0.2,2.0,226.16452476676847,0.3456967219415738
92,10.0,0.16,0.02,0.02,2.0,0.0,229.43145572815155,0.32401165984501906
93,10.0,0.16,0.02,0.02,2.0,0.02,232.251177345005,0.31519041516025387
94,10.0,0.16,0.02,0.02,2.0,0.2,235.7513291537635,0.27231150998390646
95,10.0,0.16,0.02,0.02,2.0,2.0,233.1989632036365,0.34036575438688105
96,10.0,0.16,0.02,0.2,0.0,0.0,224.81871926453377,0.2947921734766751
97,10.0,0.16,0.02,0.2,0.0,0.02,231.443770630606,0.30713372647436593
98,10.0,0.16,0.02,0.2,0.0,0.2,230.81606053067367,0.353621343902083
99,10.0,0.16,0.02,0.2,0.0,2.0,226.131602683914,0.3496172435638725
100,10.0,0.16,0.02,0.2,0.02,0.0,287.92233981151213,0.3352167886946729
101,10.0,0.16,0.02,0.2,0.02,0.02,230.602399031916,0.29213274146002777
102,10.0,0.16,0.02,0.2,0.02,0.2,224.83378335069085,0.3276550568103476
103,10.0,0.16,0.02,0.2,0.02,2.0,227.8465351861527,0.30580125363140315
104,10.0,0.16,0.02,0.2,0.2,0.0,220.24226089275243,0.3333906341750348
